title,url,meta
HPC Network Engineer,https://www.hudsonrivertrading.com/hrt-job/hpc-network-engineer-4/,New York | London | Austin | Chicago | Seattle | Systems and Networking | • | Experienced | New York | London | Austin | Chicago | Seattle | Systems and Networking | • | Experienced
Software Engineer (C++ or Python) - 2026 Grads,https://www.hudsonrivertrading.com/hrt-job/software-engineer-c-or-python-2026-grads-3/,New York | Singapore | London | Software Engineering | | | C++ | | | Python | • | New Grad | New York | Singapore | London | Software Engineering | | | C++ | | | Python | • | New Grad
Algorithm Developer (Quant Researcher) - 2026 PhDs,https://www.hudsonrivertrading.com/hrt-job/algorithm-developer-quant-researcher-2026-phds/,New York | Singapore | London | Strategy Development | • | New Grad | New York | Singapore | London | Strategy Development | • | New Grad
Software Engineering Internship - Summer 2026,https://www.hudsonrivertrading.com/hrt-job/software-engineering-internship-summer-2026-2/,New York | Singapore | Software Engineering | | | C++ | | | Python | • | Internship | New York | Singapore | Software Engineering | | | C++ | | | Python | • | Internship
IT Operations Engineer,https://www.hudsonrivertrading.com/hrt-job/it-operations-engineer-2/,London | Systems and Networking | • | Experienced | London | Systems and Networking | • | Experienced
Technical Procurement Specialist,https://www.hudsonrivertrading.com/hrt-job/technical-procurement-specialist/,London | Systems and Networking | • | Experienced | London | Systems and Networking | • | Experienced
Campus Recruiter,https://www.hudsonrivertrading.com/hrt-job/campus-recruiter/,New York | People Operations | • | Experienced | New York | People Operations | • | Experienced
Campus Recruiter,https://www.hudsonrivertrading.com/hrt-job/campus-recruiter-2/,Seattle | People Operations | • | Experienced | Seattle | People Operations | • | Experienced
Explore HRT - London,https://www.hudsonrivertrading.com/hrt-job/explore-hrt-london/,London | Software Engineering | | | C++ | | | Python | • | Internship | London | Software Engineering | | | C++ | | | Python | • | Internship
AV & Conferencing Systems Engineer,https://www.hudsonrivertrading.com/hrt-job/av-systems-engineer/,New York | Systems and Networking | • | Experienced | New York | Systems and Networking | • | Experienced
"Security Governance, Risk, and Compliance Lead",https://www.hudsonrivertrading.com/hrt-job/security-governance-risk-and-compliance-lead/,New York | Information Security | • | Experienced | New York | Information Security | • | Experienced
Software Engineer - Treasury Infrastructure,https://www.hudsonrivertrading.com/hrt-job/experienced-software-engineer-treasury-infrastructure-2/,New York | Software Engineering | | | Python | • | Experienced | New York | Software Engineering | | | Python | • | Experienced
Software Engineer - AI Tools,https://www.hudsonrivertrading.com/hrt-job/experienced-software-engineer-ai-tools-2/,New York | Chicago | Software Engineering | | | Python | • | Experienced | New York | Chicago | Software Engineering | | | Python | • | Experienced
Software Engineer - Python,https://www.hudsonrivertrading.com/hrt-job/experienced-software-engineer-2/,New York | London | Chicago | Software Engineering | | | Python | • | Experienced | New York | London | Chicago | Software Engineering | | | Python | • | Experienced
Research Engineer,https://www.hudsonrivertrading.com/hrt-job/experienced-research-engineer/,New York | London | Software Engineering | | | Python | • | Experienced | New York | London | Software Engineering | | | Python | • | Experienced
Lustre Architect,https://www.hudsonrivertrading.com/hrt-job/lustre-architect/,New York | London | Systems and Networking | • | Experienced | New York | London | Systems and Networking | • | Experienced
Software Engineer - Distributed Compute,https://www.hudsonrivertrading.com/hrt-job/experienced-low-level-software-engineer-c-distributed-compute/,Singapore | Software Engineering | | | C++ | • | Experienced | Singapore | Software Engineering | | | C++ | • | Experienced
ETF Sales Trader,https://www.hudsonrivertrading.com/hrt-job/etf-sales-trader/,New York | Strategy Development | • | Experienced | New York | Strategy Development | • | Experienced
Senior Product Control Accountant,https://www.hudsonrivertrading.com/hrt-job/senior-product-control-accountant/,Singapore | Finance | • | Experienced | Singapore | Finance | • | Experienced
Client Services Specialist,https://www.hudsonrivertrading.com/hrt-job/client-services-specialist/,New York | Austin | Chicago | Business Development | • | Experienced | New York | Austin | Chicago | Business Development | • | Experienced
Fullstack Developer,https://www.hudsonrivertrading.com/hrt-job/fullstack-developer-2/,New York | London | Chicago | Seattle | Software Engineering | | | Python | | | Strategy Development | • | Experienced | New York | London | Chicago | Seattle | Software Engineering | | | Python | | | Strategy Development | • | Experienced
Options Compliance Officer,https://www.hudsonrivertrading.com/hrt-job/senior-compliance-officer/,New York | Legal & Compliance | • | Experienced | New York | Legal & Compliance | • | Experienced
Technical Recruiter,https://www.hudsonrivertrading.com/hrt-job/technical-recruiter/,Bellevue | Seattle | People Operations | • | Experienced | Bellevue | Seattle | People Operations | • | Experienced
Security Operations Engineer,https://www.hudsonrivertrading.com/hrt-job/security-operations-engineer/,New York | Information Security | • | Experienced | New York | Information Security | • | Experienced
"Head of Central Compliance, Americas",https://www.hudsonrivertrading.com/hrt-job/head-of-central-compliance-americas/,New York | Legal & Compliance | • | Experienced | New York | Legal & Compliance | • | Experienced
Software Engineer - C++,https://www.hudsonrivertrading.com/hrt-job/experienced-software-engineer-low-level-c/,New York | London | Austin | Chicago | Software Engineering | | | C++ | • | Experienced | New York | London | Austin | Chicago | Software Engineering | | | C++ | • | Experienced
Junior Data Center Engineer,https://www.hudsonrivertrading.com/hrt-job/junior-data-center-engineer/,Slough | Systems and Networking | • | Experienced | Slough | Systems and Networking | • | Experienced
